< who/WP, descent/NN, representation/NN >
< who/WP, is/VBZ, descent/NN >
< passage/NN, appeared/VBD, representation/NN >
< passage/NN, is/VBZ, appeared/VBD >
< author/NN, examines/VBZ, representation/NN >
< author/NN, is/VBZ, examines/VBZ >
< they/PRP, settlers/NNS, Americans/NNPS >
< they/PRP, were/VBD, settlers/NNS >
< aspirations/NNS, is/VBZ, misunderstood/VBN >
< aspirations/NNS, are/VBP, misunderstood/VBN >
< customs/NNS, is/VBZ, misunderstood/VBN >
< customs/NNS, are/VBP, misunderstood/VBN >
< languages/NNS, is/VBZ, misunderstood/VBN >
< languages/NNS, are/VBP, misunderstood/VBN >
< rights/NNS, is/VBZ, misunderstood/VBN >
< rights/NNS, are/VBP, misunderstood/VBN >
< motives/NNS, is/VBZ, misunderstood/VBN >
< motives/NNS, are/VBP, misunderstood/VBN >
< that/WDT, is/VBZ, self-serving/JJ >
< that/WDT, are/VBP, self-serving/JJ >
< that/WDT, is/VBZ, self-righteous/JJ >
< that/WDT, are/VBP, self-righteous/JJ >
< Part/NN, charged/VBD, more/RBR >
< Part/NN, charged/VBD, Americans/NNPS >
< idea/NN, is/VBZ, new/JJ >
< analysis/NN, be/VB, prejudged/VBD >
< Europeans/NNPS, did/VBD, theory/NN >
< Europeans/NNPS, did/VBD, attempt/NN >
< Europeans/NNPS, was/VBD, did/VBD >
< it/PRP, basis/NN, theory/NN >
< it/PRP, basis/NN, attempt/NN >
< it/PRP, was/VBD, basis/NN >
< Europeans/NNPS, like/IN, what/WP >
< Europeans/NNPS, been/VBN, like/IN >
< It/PRP, 's/VBZ, story/NN >
< Americans/NNPS, 's/VBZ, are/VBP >
< It/PRP, 's/VBZ, sapiens/JJ >
< difficulty/NN, 's/VBZ, is/VBZ >
< Americans/NNPS, 's/VBZ, were/VBD >
< cultures/NNS, had/VBN, sense/NN >
< cultures/NNS, had/VBN, ancestors/NNS >
< cultures/NNS, had/VBN, Americans/NNPS >
< cultures/NNS, be/VB, had/VBN >
< medicines/NNS, had/VBN, sense/NN >
< medicines/NNS, had/VBN, ancestors/NNS >
< medicines/NNS, had/VBN, Americans/NNPS >
< medicines/NNS, be/VB, had/VBN >
< explanations/NNS, had/VBN, sense/NN >
< explanations/NNS, had/VBN, ancestors/NNS >
< explanations/NNS, had/VBN, Americans/NNPS >
< explanations/NNS, be/VB, had/VBN >
< ancestors/NNS, vanished/VBN, sense/NN >
< ancestors/NNS, vanished/VBN, ancestors/NNS >
< ancestors/NNS, vanished/VBN, Americans/NNPS >
< ancestors/NNS, be/VB, vanished/VBN >
< West/NNP, holds/VBZ, monopoly/NN >
< West/NNP, holds/VBZ, fact/NN >
< reluctance/NN, comes/VBZ, monopoly/NN >
< reluctance/NN, comes/VBZ, fact/NN >
< truth/NN, knew/VBD, doubt/NN >
< truth/NN, knew/VBD, what/WP >
< truth/NN, are/VBP, knew/VBD >
< Europeans/NNPS, knew/VBD, doubt/NN >
< Europeans/NNPS, knew/VBD, what/WP >
< Europeans/NNPS, are/VBP, knew/VBD >
< that/DT, was/VBD, doubt/NN >
< that/DT, was/VBD, what/WP >
< that/DT, are/VBP, was/VBD >
< viewpoints/NNS, plausible/JJ, doubt/NN >
< viewpoints/NNS, plausible/JJ, what/WP >
< viewpoints/NNS, are/VBP, plausible/JJ >
< way/NN, knew/VBD, doubt/NN >
< way/NN, knew/VBD, what/WP >
< way/NN, are/VBP, knew/VBD >
< God/NNP, knew/VBD, doubt/NN >
< God/NNP, knew/VBD, what/WP >
< God/NNP, are/VBP, knew/VBD >
< societies/NNS, were/VBD, less/JJR >
< they/PRP, is/VBZ, were/VBD >
< they/PRP, is/VBZ, had/VBD >
< It/PRP, is/VBZ, wonder/NN >
< societies/NNS, making/VBG, task/NN >
< societies/NNS, making/VBG, history/NN >
< societies/NNS, were/VBD, making/VBG >
< societies/NNS, making/VBG', task/NN >
< societies/NNS, making/VBG', history/NN >
< societies/NNS, were/VBD, making/VBG' >
< history/NN, strike/VBP, academics/NNS >
< tales/NNS, strike/VBP, academics/NNS >
< rituals/NNS, strike/VBP, academics/NNS >
< kinds/NNS, available/JJ, academics/NNS >
< devices/NNS, strike/VBP, academics/NNS >
< kinds/NNS, exist/VB, academics/NNS >
< historians/NNS, apt/JJ, next/JJ >
< historians/NNS, apt/JJ, evidence/NN >
< historians/NNS, are/VBP, apt/JJ >
< void/NN, is/VBZ, acceptable/JJ >
< void/NN, is/VBZ, rigorous/JJ >
< it/PRP, is/VBZ, naive/JJ >
< that/WDT, attracted/VBD, them/PRP >
< that/WDT, are/VBP, attracted/VBD >
< impressions/NNS, aspects/NNS, them/PRP >
< impressions/NNS, are/VBP, aspects/NNS >
< it/PRP, requires/VBZ, initial/JJ >
< it/PRP, requires/VBZ, abrupt/JJ >
< it/PRP, requires/VBZ, demythologizing/NN >
< it/PRP, is/VBZ, requires/VBZ >
< scholarship/NN, unique/JJ, initial/JJ >
< scholarship/NN, unique/JJ, abrupt/JJ >
< scholarship/NN, unique/JJ, demythologizing/NN >
< scholarship/NN, is/VBZ, unique/JJ >
< students/NNS, start/VB, demythologizing/NN >
