< Aviation/NNP, was/VBD, belonged/VBD >
< engineering/NN, was/VBD, different/JJ >
< that/WDT, was/VBD, went/VBD >
< expense/NN, spared/VBD, steel/NN >
< expense/NN, spared/VBD, pressures/NNS >
< expense/NN, spared/VBD, pipes/NNS >
< expense/NN, spared/VBD, bronze/NN >
< expense/NN, spared/VBD, everything/NN >
< expense/NN, spared/VBD, number/NN >
< expense/NN, was/VBD, spared/VBD >
< It/PRP, weight/NN, steel/NN >
< It/PRP, weight/NN, pressures/NNS >
< It/PRP, weight/NN, pipes/NNS >
< It/PRP, weight/NN, bronze/NN >
< It/PRP, weight/NN, everything/NN >
< It/PRP, weight/NN, number/NN >
< It/PRP, was/VBD, weight/NN >
< it/PRP, was/VBD, lightness/NN >
< it/PRP, was/VBD, lightness/NN >
< construction/NN, was/VBD, opposite/NN >
< construction/NN, was/VBD, opposite/NN >
< it/PRP, was/VBD, lightness/NN >
< which/WDT, rage/NN, one/CD >
< which/WDT, rage/NN, bicycles/NNS >
< which/WDT, were/VBD, rage/NN >
< brothers/NNS, started/VBD, one/CD >
< brothers/NNS, started/VBD, bicycles/NNS >
< brothers/NNS, were/VBD, started/VBD >
< who/WP, created/VBD, one/CD >
< who/WP, created/VBD, bicycles/NNS >
< who/WP, were/VBD, created/VBD >
< it/PRP, took/VBD, little/JJ >
< it/PRP, took/VBD, machines/NNS >
< They/PRP, knew/VBD, little/JJ >
< They/PRP, knew/VBD, machines/NNS >
< whatever/WDT, took/VBD, little/JJ >
< whatever/WDT, took/VBD, machines/NNS >
< that/WDT, weighed/VBD, little/JJ >
< that/WDT, weighed/VBD, machines/NNS >
< they/PRP, were/VBD, engineers/NNS >
< they/PRP, be/VB, engineers/NNS >
< they/PRP, were/VBD, happened/VBD >
< they/PRP, be/VB, happened/VBD >
< they/PRP, were/VBD, happened/VBD >
< they/PRP, be/VB, happened/VBD >
< Wright/NNP, spent/VBD, secret/NN >
< Wright/NNP, spent/VBD, time/NN >
< Wright/NNP, spent/VBD, flight/NN >
< writer/NN, Says/VBZ, secret/NN >
< writer/NN, Says/VBZ, time/NN >
< writer/NN, Says/VBZ, flight/NN >
< he/PRP, loved/VBD, him/PRP >
< who/WP, asked/VBD, him/PRP >
< he/PRP, learned/VBD, him/PRP >
< This/DT, point/NN, itself/PRP >
< This/DT, is/VBZ, point/NN >
< body/NN, earthbound/JJ, soul/NN >
< body/NN, was/VBD, earthbound/JJ >
< Marvell/NNP, showed/VBD, soul/NN >
< Marvell/NNP, was/VBD, showed/VBD >
< that/WDT, flew/VBD, soul/NN >
< that/WDT, was/VBD, flew/VBD >
< fliers/NNS, got/VBD, soul/NN >
< fliers/NNS, was/VBD, got/VBD >
< it/PRP, enclosed/VBD, soul/NN >
< it/PRP, was/VBD, enclosed/VBD >
< it/PRP, sits/VBZ, vest/NN >
< soul/NN, glide/VB, vest/NN >
< it/PRP, sings/VBZ, vest/NN >
< that/WDT, allowed/VBD, people/NNS >
< engineering/NN, seemed/VBD, people/NNS >
< gifts/NNS, swung/VBN, engineers/NNS >
< gifts/NNS, swung/VBN, souls/NNS >
< gifts/NNS, swung/VBN, swung/VBN >
< gifts/NNS, is/VBZ, swung/VBN >
< gifts/NNS, is/VBZ, swung/VBN >
< writer/NN, praised/VBD, engineers/NNS >
< writer/NN, praised/VBD, souls/NNS >
< writer/NN, praised/VBD, swung/VBN >
< writer/NN, is/VBZ, praised/VBD >
< writer/NN, is/VBZ, praised/VBD >
< writer/NN, claimed/VBD, engineers/NNS >
< writer/NN, claimed/VBD, souls/NNS >
< writer/NN, claimed/VBD, swung/VBN >
< writer/NN, is/VBZ, claimed/VBD >
< writer/NN, is/VBZ, claimed/VBD >
< machinery/NN, form/NN, engineers/NNS >
< machinery/NN, form/NN, souls/NNS >
< machinery/NN, form/NN, swung/VBN >
< machinery/NN, is/VBZ, form/NN >
< machinery/NN, is/VBZ, form/NN >
< poetry/NN, deep/JJ, engineers/NNS >
< poetry/NN, deep/JJ, souls/NNS >
< poetry/NN, deep/JJ, swung/VBN >
< poetry/NN, is/VBZ, deep/JJ >
< poetry/NN, is/VBZ, deep/JJ >
< him/PRP, poet/NN, him/PRP >
< One/CD, called/VBD, him/PRP >
< One/CD, compared/VBD, him/PRP >
< who/WP, live/VBP, him/PRP >
< soul/NN, is/VBZ, faraway/JJ >
< soul/NN, is/VBZ, high/JJ >
< biographer/NN, was/VBD, writes/VBZ >
< Wright/NNP, was/VBD, middle-class/JJ >
< those/DT, was/VBD, pretended/VBD >
< Wright/NNP, was/VBD, unheroic/JJ >
