< passages/NNS, consider/VBP, experiences/NNS >
< Passage/NN, is/VBZ, work/NN >
< Passage/NN, is/VBZ, work/NN >
< Passage/NN, is/VBZ, study/NN >
< Passage/NN, is/VBZ, study/NN >
< that/WDT, bound/VBD, class/NN >
< that/WDT, were/VBD, bound/VBD >
< that/WDT, being/VBG, bound/VBD >
< aristocrats/NNS, exempt/JJ, class/NN >
< aristocrats/NNS, were/VBD, exempt/JJ >
< aristocrats/NNS, being/VBG, exempt/JJ >
< century/NN, progressed/VBD, her/PRP >
< century/NN, was/VBD, progressed/VBD >
< woman/NN, engaged/VBD, her/PRP >
< woman/NN, was/VBD, engaged/VBD >
< women/NNS, shared/VBN, that/WDT >
< women/NNS, shared/VBN, feeling/NN >
< women/NNS, was/VBD, shared/VBN >
< labor/NN, demeaning/JJ, that/WDT >
< labor/NN, demeaning/JJ, feeling/NN >
< labor/NN, was/VBD, demeaning/JJ >
< women/NNS, suitable/JJ, that/WDT >
< women/NNS, suitable/JJ, feeling/NN >
< women/NNS, was/VBD, suitable/JJ >
< which/WDT, included/VBD, that/WDT >
< which/WDT, included/VBD, feeling/NN >
< which/WDT, was/VBD, included/VBD >
< woman/NN, risked/VBN, opprobrium/NN >
< who/WP, did/VBD, opprobrium/NN >
< self-worth/NN, rose/VBD, opprobrium/NN >
< Inequality/NN, made/VBD, herself/PRP >
< it/PRP, support/VB, herself/PRP >
< mistress/NN, are/VBP, argument/NN >
< mistress/NN, are/VBP, numbers/NNS >
< mistress/NN, are/VBP, class/NN >
< mistress/NN, are/VBP, occupation/NN >
< children/NNS, are/VBP, argument/NN >
< children/NNS, are/VBP, numbers/NNS >
< children/NNS, are/VBP, class/NN >
< children/NNS, are/VBP, occupation/NN >
< wife/NN, are/VBP, argument/NN >
< wife/NN, are/VBP, numbers/NNS >
< wife/NN, are/VBP, class/NN >
< wife/NN, are/VBP, occupation/NN >
< it/PRP, requires/VBZ, argument/NN >
< it/PRP, requires/VBZ, numbers/NNS >
< it/PRP, requires/VBZ, class/NN >
< it/PRP, requires/VBZ, occupation/NN >
< class/NN, comprises/VBZ, argument/NN >
< class/NN, comprises/VBZ, numbers/NNS >
< class/NN, comprises/VBZ, class/NN >
< class/NN, comprises/VBZ, occupation/NN >
< General/NNP, introduced/VBD, argument/NN >
< General/NNP, introduced/VBD, numbers/NNS >
< General/NNP, introduced/VBD, class/NN >
< General/NNP, introduced/VBD, occupation/NN >
< that/WDT, have/VBP, argument/NN >
< that/WDT, have/VBP, numbers/NNS >
< that/WDT, have/VBP, class/NN >
< that/WDT, have/VBP, occupation/NN >
< tokens/NNS, carried/VBD, initials/NNS >
< mother/NN, joined/VBN, withdrawal/NN >
< mother/NN, joined/VBN, view/NN >
< mother/NN, joined/VBN, that/WDT >
< division/NN, seen/VBN, withdrawal/NN >
< division/NN, seen/VBN, view/NN >
< division/NN, seen/VBN, that/WDT >
< This/DT, serves/VBZ, withdrawal/NN >
< This/DT, serves/VBZ, view/NN >
< This/DT, serves/VBZ, that/WDT >
< Marriage/NN, became/VBD, prosperity/NN >
< women/NNS, appear/VBP, prosperity/NN >
< women/NNS, did/VBD, what/WP >
< women/NNS, did/VBD, knowledge/NN >
< absence/NN, makes/VBZ, what/WP >
< absence/NN, makes/VBZ, knowledge/NN >
< they/PRP, survived/VBD, what/WP >
< they/PRP, survived/VBD, knowledge/NN >
< we/PRP, know/VB, What/WP >
< ability/NN, became/VBD, What/WP >
< increase/NN, came/VBD, increase/NN >
< increase/NN, came/VBD, diaries/NNS >
< increase/NN, came/VBD, collections/NNS >
< restrictions/NNS, imposed/VBN, research/NN >
< restrictions/NNS, was/VBD, imposed/VBN >
< incentive/NN, desire/NN, research/NN >
< incentive/NN, was/VBD, desire/NN >
< women/NNS, traveled/VBD, research/NN >
< women/NNS, was/VBD, traveled/VBD >
< Travel/NN, gesture/NN, woman/NN >
< Travel/NN, was/VBD, gesture/NN >
< Middleton/NNP, observes/VBZ, woman/NN >
< Middleton/NNP, was/VBD, observes/VBZ >
< birds/NNS, found/VBD, flight/NN >
< birds/NNS, found/VBD, wings/NNS >
< birds/NNS, took/VBD, flight/NN >
< birds/NNS, took/VBD, wings/NNS >
< they/PRP, achieved/VBD, freedom/NN >
< they/PRP, achieved/VBD, measure/NN >
< it/PRP, natural/JJ, emancipation/NN >
< it/PRP, are/VBP, natural/JJ >
< it/PRP, is/VBZ, natural/JJ >
< it/PRP, are/VBP, natural/JJ >
< they/PRP, hail/VB, emancipation/NN >
< they/PRP, are/VBP, hail/VB >
< they/PRP, is/VBZ, hail/VB >
< they/PRP, are/VBP, hail/VB >
< which/WDT, arbitrary/JJ, emancipation/NN >
< which/WDT, are/VBP, arbitrary/JJ >
< which/WDT, is/VBZ, arbitrary/JJ >
< which/WDT, are/VBP, arbitrary/JJ >
< women/NNS, countries/NNS, emancipation/NN >
< women/NNS, are/VBP, countries/NNS >
< women/NNS, is/VBZ, countries/NNS >
< women/NNS, are/VBP, countries/NNS >
< which/WDT, artificial/JJ, emancipation/NN >
< which/WDT, are/VBP, artificial/JJ >
< which/WDT, is/VBZ, artificial/JJ >
< which/WDT, are/VBP, artificial/JJ >
< opportunity/NN, offers/VBZ, emancipation/NN >
< opportunity/NN, are/VBP, offers/VBZ >
< opportunity/NN, is/VBZ, offers/VBZ >
< opportunity/NN, are/VBP, offers/VBZ >
< Kingsley/NNP, uninterested/JJ, rights/NNS >
< others/NNS, written/VBN, distaste/NN >
< she/PRP, written/VBN, distaste/NN >
