< passage/NN, is/VBZ, book/NN >
< they/PRP, eat/VB, insects/NNS >
< they/PRP, are/VBP, eat/VB >
< they/PRP, are/VBP, eat/VB >
< they/PRP, small/JJ, insects/NNS >
< they/PRP, are/VBP, small/JJ >
< they/PRP, are/VBP, small/JJ >
< they/PRP, nocturnal/JJ, insects/NNS >
< they/PRP, are/VBP, nocturnal/JJ >
< they/PRP, are/VBP, nocturnal/JJ >
< bats/NNS, fall/VBP, insects/NNS >
< bats/NNS, are/VBP, fall/VBP >
< bats/NNS, are/VBP, fall/VBP >
< bats/NNS, numerous/JJ, habits/NNS >
< bats/NNS, numerous/JJ, species/NNS >
< bats/NNS, are/VBP, numerous/JJ >
< bats/NNS, have/VBP, habits/NNS >
< bats/NNS, have/VBP, species/NNS >
< bats/NNS, are/VBP, have/VBP >
< they/PRP, pluck/VBP, which/WDT >
< bats/NNS, are/VBP, vampires/NNS >
< bats/NNS, are/VBP, dine/VB >
< types/NNS, are/VBP, rely/VBP >
< vampires/NNS, are/VBP, showy/JJ >
< they/PRP, take/VBP, them/PRP >
< they/PRP, take/VBP, livestock/NN >
< they/PRP, take/VBP, care/NN >
< they/PRP, are/VBP, take/VBP >
< they/PRP, lap/VBP, fill/NN >
< they/PRP, lap/VBP, incisions/NNS >
< they/PRP, make/VBP, fill/NN >
< they/PRP, make/VBP, incisions/NNS >
< blood/NN, flow/VB, fill/NN >
< blood/NN, flow/VB, incisions/NNS >
< bats/NNS, play/VB, role/NN >
< bats/NNS, is/VBZ, play/VB >
< that/WDT, is/VBZ, role/NN >
< that/WDT, is/VBZ, is/VBZ >
< we/PRP, get/VB, role/NN >
< we/PRP, is/VBZ, get/VB >
< anticoagulant/NN, toxic/JJ, role/NN >
< anticoagulant/NN, is/VBZ, toxic/JJ >
< bats/NNS, are/VBP, sweet-tempered/JJ >
< I/PRP, are/VBP, know/VBP >
< bats/NNS, are/VBP, useful/JJ >
< who/WP, defying/VBG, nature/NN >
< who/WP, defying/VBG, jump/NN >
< who/WP, defying/VBG, rhythms/NNS >
< who/WP, defying/VBG, dwellers/NNS >
< who/WP, have/VBP, nature/NN >
< who/WP, have/VBP, jump/NN >
< who/WP, have/VBP, rhythms/NNS >
< who/WP, have/VBP, dwellers/NNS >
< we/PRP, come/VBP, nature/NN >
< we/PRP, come/VBP, jump/NN >
< we/PRP, come/VBP, rhythms/NNS >
< we/PRP, come/VBP, dwellers/NNS >
< we/PRP, is/VBZ, dream/VBP >
< bats/NNS, is/VBZ, moving/VBG >
< reality/NN, is/VBZ, warped/JJ >
< night/NN, is/VBZ, is/VBZ >
< we/PRP, is/VBZ, picture/VBP >
< we/PRP, become/VBP, world/NN >
< Thinking/VBG, threatens/VBZ, safety/NN >
< we/PRP, take/VBP, safety/NN >
< we/PRP, top/NN, ourselves/PRP >
< we/PRP, are/VBP, top/NN >
< we/PRP, had/VBD, ourselves/PRP >
< we/PRP, are/VBP, had/VBD >
< we/PRP, live/VB, ourselves/PRP >
< we/PRP, are/VBP, live/VB >
< ancestors/NNS, did/VBD, ourselves/PRP >
< ancestors/NNS, are/VBP, did/VBD >
< we/PRP, be/VB, suspect/VBP >
< sense/NN, be/VB, depends/VBZ >
< Egyptians/NNP, prized/VBN, parts/NNS >
< Chamalcan/NNP, had/VBD, wings/NNS >
< Chamalcan/NNP, had/VBD, body/NN >
< it/PRP, holds/VBZ, tongue/NN >
< it/PRP, holds/VBZ, corpse/NN >
< it/PRP, holds/VBZ, god/NN >
< it/PRP, holds/VBZ, heart/NN >
< engraving/NN, shows/VBZ, tongue/NN >
< engraving/NN, shows/VBZ, corpse/NN >
< engraving/NN, shows/VBZ, god/NN >
< engraving/NN, shows/VBZ, heart/NN >
< number/NN, raised/VBD, bat/NN >
< it/PRP, Dracula/NNP, monsters/NNS >
< it/PRP, Dracula/NNP, mammals/NNS >
< it/PRP, was/VBD, Dracula/NNP >
< that/WDT, turned/VBD, monsters/NNS >
< that/WDT, turned/VBD, mammals/NNS >
< that/WDT, was/VBD, turned/VBD >
< spill/NN, were/VBD, began/VBD >
< they/PRP, were/VBD, fascinate/VB >
< vampires/NNS, were/VBD, human/JJ >
< rhythms/NNS, are/VBP, pattern/NN >
