< following/NN, is/VBZ, excerpt/NN >
< novelist/NN, portrays/VBZ, townspeople/NN >
< it/PRP, took/VBD, trip/NN >
< it/PRP, took/VBD, time/NN >
< it/PRP, took/VBD, effort/NN >
< it/PRP, took/VBD, that/WDT >
< They/PRP, stayed/VBD, trip/NN >
< They/PRP, stayed/VBD, time/NN >
< They/PRP, stayed/VBD, effort/NN >
< They/PRP, stayed/VBD, that/WDT >
< train/NN, made/VBD, trip/NN >
< train/NN, made/VBD, time/NN >
< train/NN, made/VBD, effort/NN >
< train/NN, made/VBD, that/WDT >
< Trist/NNP, brought/VBN, trip/NN >
< Trist/NNP, brought/VBN, time/NN >
< Trist/NNP, brought/VBN, effort/NN >
< Trist/NNP, brought/VBN, that/WDT >
< Crespi/NNP, projected/VBD, misfortune/NN >
< who/WP, died/VBN, misfortune/NN >
< merchant/NN, reappear/VB, misfortune/NN >
< They/PRP, became/VBD, misfortune/NN >
< audience/NN, tolerate/VB, seats/NNS >
< audience/NN, tolerate/VB, difficulties/NNS >
< audience/NN, tolerate/VB, fraud/NN >
< audience/NN, tolerate/VB, cents/NNS >
< they/PRP, broke/VBD, seats/NNS >
< they/PRP, broke/VBD, difficulties/NNS >
< they/PRP, broke/VBD, fraud/NN >
< they/PRP, broke/VBD, cents/NNS >
< who/WP, paid/VBD, seats/NNS >
< who/WP, paid/VBD, difficulties/NNS >
< who/WP, paid/VBD, fraud/NN >
< who/WP, paid/VBD, cents/NNS >
< that/WDT, merit/VB, outbursts/NNS >
< that/WDT, was/VBD, merit/VB >
< cinema/NN, machine/NN, outbursts/NNS >
< cinema/NN, was/VBD, machine/NN >
< mayor/NN, explained/VBD, outbursts/NNS >
< mayor/NN, was/VBD, explained/VBD >
< they/PRP, had/VBD, troubles/NNS >
< they/PRP, had/VBD, explanation/NN >
< they/PRP, been/VBN, had/VBD >
< many/JJ, felt/VBD, troubles/NNS >
< many/JJ, felt/VBD, explanation/NN >
< many/JJ, been/VBN, felt/VBD >
< that/DT, discouraging/VBG, troubles/NNS >
< that/DT, discouraging/VBG, explanation/NN >
< that/DT, been/VBN, discouraging/VBG >
< they/PRP, decided/VBD, troubles/NNS >
< they/PRP, decided/VBD, explanation/NN >
< they/PRP, been/VBN, decided/VBD >
< they/PRP, victims/NNS, troubles/NNS >
< they/PRP, victims/NNS, explanation/NN >
< they/PRP, been/VBN, victims/NNS >
< records/NNS, had/VBD, effects/NNS >
< curiosity/NN, increased/VBD, novelty/NN >
< curiosity/NN, increased/VBD, themselves/PRP >
< curiosity/NN, increased/VBD, business/NN >
< curiosity/NN, increased/VBD, conclusion/NN >
< curiosity/NN, was/VBD, increased/VBD >
< it/PRP, mill/NN, novelty/NN >
< it/PRP, mill/NN, themselves/PRP >
< it/PRP, mill/NN, business/NN >
< it/PRP, mill/NN, conclusion/NN >
< it/PRP, was/VBD, mill/NN >
< some/DT, said/VBN, novelty/NN >
< some/DT, said/VBN, themselves/PRP >
< some/DT, said/VBN, business/NN >
< some/DT, said/VBN, conclusion/NN >
< some/DT, was/VBD, said/VBN >
< some/DT, full/JJ, novelty/NN >
< some/DT, full/JJ, themselves/PRP >
< some/DT, full/JJ, business/NN >
< some/DT, full/JJ, conclusion/NN >
< some/DT, was/VBD, full/JJ >
< word/NN, was/VBD, novelty/NN >
< word/NN, was/VBD, themselves/PRP >
< word/NN, was/VBD, business/NN >
< word/NN, was/VBD, conclusion/NN >
< word/NN, was/VBD, was/VBD >
< everyone/NN, thought/VBN, novelty/NN >
< everyone/NN, thought/VBN, themselves/PRP >
< everyone/NN, thought/VBN, business/NN >
< everyone/NN, thought/VBN, conclusion/NN >
< everyone/NN, was/VBD, thought/VBN >
< who/WP, disguised/VBD, novelty/NN >
< who/WP, disguised/VBD, themselves/PRP >
< who/WP, disguised/VBD, business/NN >
< who/WP, disguised/VBD, conclusion/NN >
< who/WP, was/VBD, disguised/VBD >
< they/PRP, reached/VBD, novelty/NN >
< they/PRP, reached/VBD, themselves/PRP >
< they/PRP, reached/VBD, business/NN >
< they/PRP, reached/VBD, conclusion/NN >
< they/PRP, was/VBD, reached/VBD >
< one/CD, was/VBD, objects/NNS >
< one/CD, was/VBD, that/WDT >
< one/CD, was/VBD, was/VBD >
< something/NN, take/VB, objects/NNS >
< something/NN, take/VB, that/WDT >
< something/NN, was/VBD, take/VB >
< It/PRP, disappointment/NN, objects/NNS >
< It/PRP, disappointment/NN, that/WDT >
< It/PRP, was/VBD, disappointment/NN >
< phonographs/NNS, became/VBD, objects/NNS >
< phonographs/NNS, became/VBD, that/WDT >
< phonographs/NNS, was/VBD, became/VBD >
< its/PRP$, crank/VBP, reality/NN >
< its/PRP$, crank/VBP, opportunity/NN >
< its/PRP$, be/VB, crank/VBP >
< someone/NN, had/VBD, reality/NN >
< someone/NN, had/VBD, opportunity/NN >
< someone/NN, be/VB, had/VBD >
< God/NNP, keeping/VBG, inhabitants/NNS >
< God/NNP, keeping/VBG, capacity/NN >
< It/PRP, was/VBD, inhabitants/NNS >
< It/PRP, was/VBD, capacity/NN >
< limits/NNS, lay/VBD, inhabitants/NNS >
< limits/NNS, lay/VBD, capacity/NN >
< one/NN, knew/VBD, inhabitants/NNS >
< one/NN, knew/VBD, capacity/NN >
< God/NNP, decided/VBN, inhabitants/NNS >
< God/NNP, decided/VBN, capacity/NN >
