< contribution/NN, was/VBD, system/NN >
< classification/NN, is/VBZ, tool/NN >
< classification/NN, been/VBN, tool/NN >
< Linnaeus/NNP, is/VBZ, first/JJ >
< Linnaeus/NNP, been/VBN, first/JJ >
< truth/NN, were/VBD, apparent/JJ >
< truth/NN, was/VBD, apparent/JJ >
< who/WP, were/VBD, themselves/PRP >
< who/WP, was/VBD, themselves/PRP >
< I/PRP, am/VBP, heretic/JJ >
< it/PRP, effected/VBN, science/NN >
< it/PRP, effected/VBN, value/NN >
< it/PRP, am/VBP, effected/VBN >
< he/PRP, gave/VBD, science/NN >
< he/PRP, gave/VBD, value/NN >
< he/PRP, am/VBP, gave/VBD >
< I/PRP, wary/JJ, science/NN >
< I/PRP, wary/JJ, value/NN >
< I/PRP, am/VBP, wary/JJ >
< I/PRP, dispute/VB, science/NN >
< I/PRP, dispute/VB, value/NN >
< I/PRP, am/VBP, dispute/VB >
< cost/NN, is/VBZ, possibilities/NNS >
< cost/NN, is/VBZ, nature/NN >
< he/PRP, understand/VB, tree/NN >
< he/PRP, understand/VB, tree/NN >
< she/PRP, understand/VB, tree/NN >
< she/PRP, understand/VB, tree/NN >
< human/JJ, thinks/VBZ, tree/NN >
< human/JJ, thinks/VBZ, tree/NN >
< society/NN, supports/VBZ, species/NNS >
< society/NN, supports/VBZ, experience/NN >
< society/NN, are/VBP, supports/VBZ >
< which/WDT, make/VBP, species/NNS >
< which/WDT, make/VBP, experience/NN >
< which/WDT, are/VBP, make/VBP >
< They/PRP, creatures/NNS, species/NNS >
< They/PRP, creatures/NNS, experience/NN >
< They/PRP, are/VBP, creatures/NNS >
